index,link
0,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPWHITE-FORMALBRAH658534E3B0A137/1562862822643_0..jpg?imwidth=282&impolicy=hq
1,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPVAN-HEUSEN-BADIT509967B9EB832/1563044814591_0..jpg?imwidth=282&impolicy=hq
2,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPDISPERSE-FEAOXOL23452A200063E/1563074821320_0..jpg?imwidth=282&impolicy=hq
3,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPPINKY-PARI-BPINK535861B1F3C781/1574683409090_6.jpg?imwidth=282&impolicy=hq
4,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPFABRANGE-REDFABR82411169CC214/1562908864676_0..jpg?imwidth=282&impolicy=hq
5,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPRAYON-SHIRTMEER1027541A3347499/1562980807345_6.jpg?imwidth=282&impolicy=hq
6,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPONE-FEMME-WOONE-2143051612F506/1562928186104_0..jpg?imwidth=282&impolicy=hq
7,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPSHIRTGAUR304432A6F2D06/1562763922107_0..jpg?imwidth=282&impolicy=hq
8,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPALLEN-SOLLY-ADIT509965E090E1D/1562881933968_1..jpg?imwidth=282&impolicy=hq
9,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPWOMEN-S-TEALHARB756534B835B5A4/1562979168435_0..jpg?imwidth=282&impolicy=hq
10,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPDARK-BLUE-STED45714CBE044EA/1562858072789_0..jpg?imwidth=282&impolicy=hq
11,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPNEUVIN-FORMANEUV310265DB36E8CD/1563055575334_0..jpg?imwidth=282&impolicy=hq
12,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPVAN-HEUSEN-WADIT50996C790BD9D/1562847911624_1..jpg?imwidth=282&impolicy=hq
13,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPFLORAL-MONACOXOL23452332F865A/1563086272902_0..jpg?imwidth=282&impolicy=hq
14,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPSHIRTSGAUR30443F351E78C/1562758905013_0.jpg?imwidth=282&impolicy=hq
