index,link
0,https://sathya.in/media/77668/catalog/fdf.png?size=256
1,https://sathya.in/media/53904/catalog/gaming-laptops.png?size=256
2,https://sathya.in/media/5981/catalog/hp-2.jpg?size=256
3,https://sathya.in/media/5982/catalog/dell.jpg?size=256
4,https://sathya.in/media/5990/catalog/lenovo.jpg?size=256
5,https://sathya.in/media/5979/catalog/asus-1.jpg?size=256
6,https://sathya.in/media/5976/catalog/acer-1.png?size=256
7,https://sathya.in/media/80074/catalog/logo-1.jpg?size=256
8,https://sathya.in/media/42867/catalog/dell-laptop-13-xps-9300-ci5-1035g1-8gb-lpddr3-512gb-ssd-w10-mso-3.png?size=256
9,"https://sathya.in/media/77678/catalog/mxw_1440,f_auto-2.png?size=256"
10,https://sathya.in/media/78806/catalog/8.png?size=256
11,https://sathya.in/media/79002/catalog/71YGJorrNIS._SL1500_.jpg?size=256
12,https://sathya.in/media/79873/catalog/aspire-7-1_1_2.jpg?size=256
13,https://sathya.in/media/79911/catalog/Untitled 1.png?size=256
14,https://sathya.in/media/80744/catalog/acer-aspire-3__a314-22-22g_wp-logo_01_1.jpg?size=256
15,https://sathya.in/media/55972/catalog/lenovo-laptop-think-book-20vea0a4ih-intel-core-i5-1135g-8gb-ram-512gb-ssd-dos-15-6-inch-1-year-warra.jpg?size=256
16,https://sathya.in/media/56242/catalog/lenovo-laptop-ideapad-slim-82fe00qlin-ci5-11gen-8gb-512gb-ssd-w10-mso-14inch.jpg?size=256
17,https://sathya.in/media/77078/catalog/76.jpg?size=256
18,https://sathya.in/media/77079/catalog/77.jpg?size=256
19,https://sathya.in/media/77080/catalog/78.jpg?size=256
20,https://sathya.in/media/77198/catalog/acer-aspire-5_a515-56-56g-56s-56t_non-fp-backlit_wp-win10_silver_01_7.png?size=256
21,https://sathya.in/media/77289/catalog/acer-aspire-5_a514-54-54g_wp-win10_silver_01_1.png?size=256
22,https://sathya.in/media/82285/catalog/bbd79ab8-3667-4505-9433-7405be786b2422061041.jpg?size=256
23,https://sathya.in/media/82694/catalog/lap 1-1.png?size=256
24,https://sathya.in/media/82749/catalog/aspire-3-primary-image_4.png?size=256
25,https://sathya.in/media/82785/catalog/81isDVo0CmL._SX569_.jpg?size=256
26,https://sathya.in/media/83911/catalog/lap 1-2.png?size=256
27,https://sathya.in/media/84102/catalog/01 (2)-4.jpg?size=256
28,https://sathya.in/media/84077/catalog/51mnAWrVmBL._SX679_.jpg?size=256
29,https://sathya.in/media/84184/catalog/lp 1.png?size=256
30,https://sathya.in/media/84206/catalog/0001-1.png?size=256
31,https://sathya.in/media/84217/catalog/dell 1.png?size=256
32,https://sathya.in/media/84292/catalog/pms_1648710750.70877895.jpg?size=256
33,https://sathya.in/media/85351/catalog/redmi01.jpg?size=256
34,https://sathya.in/media/84310/catalog/0001.jpeg?size=256
35,https://sathya.in/media/84330/catalog/as 1.png?size=256
36,https://sathya.in/media/84431/catalog/acer-nitro-1.jpg?size=256
37,https://sathya.in/media/84436/catalog/acer aspire 1.jpg?size=256
38,https://sathya.in/media/84771/catalog/dell 1-1.png?size=256
39,https://sathya.in/media/84774/catalog/71evs2WKJjS._SX450_.jpg?size=256
40,https://sathya.in/media/84889/catalog/lap 1-1-1.png?size=256
41,https://sathya.in/media/84892/catalog/Hp 1.png?size=256
42,https://sathya.in/media/85350/catalog/del01.jpg?size=256
43,https://sathya.in/media/81380/catalog/aspire-3-primary-image_4_1.png?size=256
44,https://sathya.in/media/81645/catalog/710NRdecQtL._SY450_.jpg?size=256
45,https://sathya.in/media/81676/catalog/d560784win9s_1_1.jpeg?size=256
46,https://sathya.in/media/81728/catalog/Lenovo_V15_ADA_1.jpg?size=256
47,https://sathya.in/media/85323/catalog/dell.png?size=256
48,https://sathya.in/media/77108/catalog/105.jpg?size=256
49,https://sathya.in/media/85176/catalog/laptop.webp?size=256
50,https://sathya.in/media/85209/catalog/silver1.jpg?size=256
51,https://sathya.in/media/77001/catalog/gr.jpg?size=256
52,https://sathya.in/media/84930/catalog/lap 1-1-2.png?size=256
53,https://sathya.in/media/85352/catalog/asus.jpg?size=256
54,https://sathya.in/media/84254/catalog/41gjPnao3DL-1.jpg?size=256
55,https://sathya.in/media/84292/catalog/pms_1648710750.70877895.jpg?size=256
56,https://sathya.in/media/85351/catalog/redmi01.jpg?size=256
57,https://sathya.in/media/84310/catalog/0001.jpeg?size=256
58,https://sathya.in/media/84330/catalog/as 1.png?size=256
59,https://sathya.in/media/84431/catalog/acer-nitro-1.jpg?size=256
60,https://sathya.in/media/84436/catalog/acer aspire 1.jpg?size=256
61,https://sathya.in/media/84771/catalog/dell 1-1.png?size=256
62,https://sathya.in/media/84774/catalog/71evs2WKJjS._SX450_.jpg?size=256
63,https://sathya.in/media/84889/catalog/lap 1-1-1.png?size=256
64,https://sathya.in/media/84892/catalog/Hp 1.png?size=256
65,https://sathya.in/media/85350/catalog/del01.jpg?size=256
66,https://sathya.in/media/81380/catalog/aspire-3-primary-image_4_1.png?size=256
67,https://sathya.in/media/81645/catalog/710NRdecQtL._SY450_.jpg?size=256
68,https://sathya.in/media/81676/catalog/d560784win9s_1_1.jpeg?size=256
69,https://sathya.in/media/81728/catalog/Lenovo_V15_ADA_1.jpg?size=256
70,https://sathya.in/media/85323/catalog/dell.png?size=256
71,https://sathya.in/media/77108/catalog/105.jpg?size=256
72,https://sathya.in/media/85176/catalog/laptop.webp?size=256
73,https://sathya.in/media/85209/catalog/silver1.jpg?size=256
74,https://sathya.in/media/77001/catalog/gr.jpg?size=256
75,https://sathya.in/media/84930/catalog/lap 1-1-2.png?size=256
76,https://sathya.in/media/85352/catalog/asus.jpg?size=256
77,https://sathya.in/media/84254/catalog/41gjPnao3DL-1.jpg?size=256
78,https://sathya.in/media/84292/catalog/pms_1648710750.70877895.jpg?size=256
79,https://sathya.in/media/85351/catalog/redmi01.jpg?size=256
80,https://sathya.in/media/84310/catalog/0001.jpeg?size=256
81,https://sathya.in/media/84330/catalog/as 1.png?size=256
82,https://sathya.in/media/84431/catalog/acer-nitro-1.jpg?size=256
83,https://sathya.in/media/84436/catalog/acer aspire 1.jpg?size=256
84,https://sathya.in/media/84771/catalog/dell 1-1.png?size=256
85,https://sathya.in/media/84774/catalog/71evs2WKJjS._SX450_.jpg?size=256
86,https://sathya.in/media/84889/catalog/lap 1-1-1.png?size=256
87,https://sathya.in/media/84892/catalog/Hp 1.png?size=256
88,https://sathya.in/media/85350/catalog/del01.jpg?size=256
89,https://sathya.in/media/81380/catalog/aspire-3-primary-image_4_1.png?size=256
90,https://sathya.in/media/81645/catalog/710NRdecQtL._SY450_.jpg?size=256
91,https://sathya.in/media/81676/catalog/d560784win9s_1_1.jpeg?size=256
92,https://sathya.in/media/81728/catalog/Lenovo_V15_ADA_1.jpg?size=256
93,https://sathya.in/media/85323/catalog/dell.png?size=256
94,https://sathya.in/media/77108/catalog/105.jpg?size=256
95,https://sathya.in/media/85176/catalog/laptop.webp?size=256
96,https://sathya.in/media/85209/catalog/silver1.jpg?size=256
97,https://sathya.in/media/77001/catalog/gr.jpg?size=256
98,https://sathya.in/media/84930/catalog/lap 1-1-2.png?size=256
99,https://sathya.in/media/85352/catalog/asus.jpg?size=256
100,https://sathya.in/media/84254/catalog/41gjPnao3DL-1.jpg?size=256
101,https://sathya.in/media/84292/catalog/pms_1648710750.70877895.jpg?size=256
102,https://sathya.in/media/85351/catalog/redmi01.jpg?size=256
103,https://sathya.in/media/84310/catalog/0001.jpeg?size=256
104,https://sathya.in/media/84330/catalog/as 1.png?size=256
105,https://sathya.in/media/84431/catalog/acer-nitro-1.jpg?size=256
106,https://sathya.in/media/84436/catalog/acer aspire 1.jpg?size=256
107,https://sathya.in/media/84771/catalog/dell 1-1.png?size=256
108,https://sathya.in/media/84774/catalog/71evs2WKJjS._SX450_.jpg?size=256
109,https://sathya.in/media/84889/catalog/lap 1-1-1.png?size=256
110,https://sathya.in/media/84892/catalog/Hp 1.png?size=256
111,https://sathya.in/media/85350/catalog/del01.jpg?size=256
112,https://sathya.in/media/81380/catalog/aspire-3-primary-image_4_1.png?size=256
113,https://sathya.in/media/81645/catalog/710NRdecQtL._SY450_.jpg?size=256
