index,link
0,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPSCOTT-INTERNSWIT610835061622D/1562907310289_1..jpg?imwidth=282&impolicy=hq
1,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPPAUSE-BLACK-PAUS577478362047C7/1562877497733_1..jpg?imwidth=282&impolicy=hq
2,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPBI-FASHION-RR-K-2832722A41624B/1562978738844_0..jpg?imwidth=282&impolicy=hq
3,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPGALATEA-COTTASHU666381250EF854/1563002047477_0..jpg?imwidth=282&impolicy=hq
4,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPCONCEPTS-COTCONC206836ECC1337/1562977834075_0..jpg?imwidth=282&impolicy=hq
5,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPAMPLE-MULTICKHAL1070621A8B06497/1563014202833_0..jpg?imwidth=282&impolicy=hq
6,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPFRISKERS-SKIM-S-1065678365F6A/1562977589494_0..jpg?imwidth=282&impolicy=hq
7,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPAWG-MEN-S-DRSWIT61083C9493B5D/1562863666523_1..jpg?imwidth=282&impolicy=hq
8,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPBLISSTONE-MEAARA1028761A4482A6/1562948936604_1.jpg?imwidth=282&impolicy=hq
9,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPTREND-FULL-MAARA1028766E6D954B/1562823898249_1..jpg?imwidth=282&impolicy=hq
10,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPFUNKY-GUYS-PFUNK95199FE709A2D/1562827500085_1..jpg?imwidth=282&impolicy=hq
11,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPZEBU-MEN-S-SZEBU23329F0BBE195/1569266156930_0..jpg?imwidth=282&impolicy=hq
12,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPRF-RAVES-MENRISH30741875BD8F3/1563070156522_0..jpg?imwidth=282&impolicy=hq
13,https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPDRRAGON-MEN-V-M-1065422764BD7E6/1563070652634_0..jpg?imwidth=282&impolicy=hq
